image,class,leaf_px,lesion_px,pct,severity
2da51b05-179d-4072-9ac9-f6985c7a494c___RS_HL 0444.JPG,tomato_healthy,33480,3366,10.05,Leve
2eb4a2fa-d41e-47f1-9e3f-e49035c5b24a___RS_HL 9995.JPG,tomato_healthy,36744,2338,6.36,Leve
2fb5c266-b7ec-4b31-91b4-3f2dc9b0cdcb___RS_HL 0147.JPG,tomato_healthy,32893,2592,7.88,Leve
2fd78b0f-a307-4824-9e6c-ff4a3f27e3c8___GH_HL Leaf 403.JPG,tomato_healthy,21717,5,0.02,Saudavel
31e077d4-97f5-4e4c-8b76-e2ccbf52ed2d___RS_HL 0460.JPG,tomato_healthy,32286,3592,11.13,Leve
410dea1e-836e-4d41-9039-9cfc2ec30c1e___GH_HL Leaf 318.1.JPG,tomato_healthy,23171,0,0.0,Saudavel
436f658c-5e47-4d2b-9a8e-2509c6d88ad1___GH_HL Leaf 376.JPG,tomato_healthy,24794,0,0.0,Saudavel
450a7466-982f-4954-8649-84c4a6ab98dd___RS_HL 0414.JPG,tomato_healthy,29344,4783,16.3,Leve
4715a717-ed38-43b7-9ee1-4f83fba00743___RS_HL 0005.JPG,tomato_healthy,24766,2044,8.25,Leve
476e6aa3-ad1e-4f86-abea-c37dfb3f8df9___RS_HL 0522.JPG,tomato_healthy,32780,5218,15.92,Leve
495559bd-76e2-4c7a-935c-3ca1b4cf4b7b___GH_HL Leaf 180.1.JPG,tomato_healthy,26934,34,0.13,Saudavel
4b7deb4f-5bce-4915-ba64-7e75c66624c2___RS_HL 0153.JPG,tomato_healthy,32314,1535,4.75,Saudavel
4e8e1275-37a2-48fa-84cb-96ffa0824571___RS_HL 0574.JPG,tomato_healthy,29910,6228,20.82,Moderada
505465db-407b-4e0a-8110-7479dad5261c___GH_HL Leaf 389.JPG,tomato_healthy,29114,26,0.09,Saudavel
50aebd46-fc21-4954-b2d7-729b02a849b1___GH_HL Leaf 194.JPG,tomato_healthy,31361,0,0.0,Saudavel
5a7de071-ba6b-4a06-a3d4-eab0abdc6ecf___GH_HL Leaf 398.1.JPG,tomato_healthy,24646,0,0.0,Saudavel
62fa284f-8fc8-46b7-a74d-71bada562464___RS_HL 0303.JPG,tomato_healthy,29161,3162,10.84,Leve
63568703-0cfc-4d23-a5e1-e3393df2d2fc___RS_HL 0246.JPG,tomato_healthy,27528,2272,8.25,Leve
635f7ae3-1561-4006-9c23-f9150ca50b78___RS_HL 9967.JPG,tomato_healthy,38783,4669,12.04,Leve
6398befe-9cd0-4724-b564-248d76b50b5a___GH_HL Leaf 196.JPG,tomato_healthy,28636,34,0.12,Saudavel
648594b0-d275-4e4c-8872-5136e01658c2___GH_HL Leaf 183.JPG,tomato_healthy,25502,105,0.41,Saudavel
66fb848b-843a-469d-a2d2-80f0e0e7eda4___GH_HL Leaf 371.1.JPG,tomato_healthy,27344,11,0.04,Saudavel
69a348e0-b426-42bd-ba09-a8bb067430e5___RS_HL 0016.JPG,tomato_healthy,33659,1373,4.08,Saudavel
6dde71bb-a416-41eb-a629-7b4541e85cfc___RS_HL 9734.JPG,tomato_healthy,26649,237,0.89,Saudavel
77e04405-25a3-4be4-8fa8-60c73888eca6___RS_HL 0599.JPG,tomato_healthy,28671,6762,23.58,Moderada
7e0f5a39-e44e-40fe-8486-f369cb59895b___RS_HL 9790.JPG,tomato_healthy,17931,800,4.46,Saudavel
7e37d8c3-2f62-4a95-b430-34746cb25776___RS_HL 0188.JPG,tomato_healthy,22909,3648,15.92,Leve
824d057f-080b-4b9e-ae96-e91d5bdf3b98___RS_HL 0380.JPG,tomato_healthy,34674,4596,13.25,Leve
82a3d470-940b-431f-9d79-3963b4e41028___GH_HL Leaf 475.1.JPG,tomato_healthy,26273,0,0.0,Saudavel
82b63dfc-d0b6-4bb3-afc4-db8d61476b10___GH_HL Leaf 415.JPG,tomato_healthy,25608,0,0.0,Saudavel
8d39c92d-db17-4a32-a350-1fa670fe2268___GH_HL Leaf 224.JPG,tomato_healthy,27475,0,0.0,Saudavel
8ea80484-4e70-4a51-bbc2-213cfedd4f59___GH_HL Leaf 341.JPG,tomato_healthy,25890,150,0.58,Saudavel
96bf0aea-6bf2-4ad8-8fa9-bbbc30be4967___RS_HL 0200.JPG,tomato_healthy,30265,10940,36.15,Moderada
005e3b43-9050-47da-9498-f9ecdcc703b3___RS_Late.B 5104.JPG,tomato_late_blight,30450,2650,8.7,Leve
00ce4c63-9913-4b16-898c-29f99acf0dc3___RS_Late.B 4982.JPG,tomato_late_blight,38035,14339,37.7,Moderada
021a9808-21f7-464a-8df2-2eda5ed98eda___RS_Late.B 5356.JPG,tomato_late_blight,50020,28222,56.42,Grave
081d1e25-3f06-46a1-95ef-d10a62faa80f___GHLB2 Leaf 8600.JPG,tomato_late_blight,15490,2022,13.05,Leve
0a6203b9-ced0-4934-ae23-4a7d2e2e2fdd___RS_Late.B 6424.JPG,tomato_late_blight,29333,17201,58.64,Grave
0c9ff8e1-b610-43e3-b914-5e9576dd8083___GHLB2 Leaf 107.1.JPG,tomato_late_blight,30717,15061,49.03,Moderada
100a5029-a6c0-4a07-a40a-f27d6d44cdc9___GHLB2 Leaf 9002.JPG,tomato_late_blight,13848,2526,18.24,Leve
117a7f38-eaa6-4f88-b892-33e2a66d77d5___RS_Late.B 5129.JPG,tomato_late_blight,26658,6978,26.18,Moderada
1507883d-7f10-4b69-88d4-db80850b1664___GHLB2 Leaf 154.JPG,tomato_late_blight,11940,11773,98.6,Grave
1627cb48-dc80-46a1-bda0-b677c32fbf56___RS_Late.B 5066.JPG,tomato_late_blight,17645,1295,7.34,Leve
16a3a1a3-3e8b-4192-999d-2728df11549d___RS_Late.B 4983.JPG,tomato_late_blight,30900,8693,28.13,Moderada
1c74783c-7863-4b1b-bf1a-6b3ef55b34b8___RS_Late.B 7094.JPG,tomato_late_blight,31246,4715,15.09,Leve
1d6d043a-9df9-49ec-9b0f-e40a8e7f409f___RS_Late.B 5287.JPG,tomato_late_blight,47422,43054,90.79,Grave
1ec9c019-1594-4916-a04c-65b87eceb8ca___RS_Late.B 6069.JPG,tomato_late_blight,28352,21888,77.2,Grave
1f2dc4ae-5264-443a-a103-67fafb37bc70___GHLB_PS Leaf 26.1 Day 16.jpg,tomato_late_blight,7748,3175,40.98,Moderada
21a75fcc-4cfa-4931-800d-7aefdea77df2___GHLB2 Leaf 8726.JPG,tomato_late_blight,9286,7602,81.87,Grave
233f5fca-7077-4175-a29f-57f310ea7879___GHLB_PS Leaf 51 Day 18.jpg,tomato_late_blight,10233,0,0.0,Saudavel
239111ba-7348-4075-bacb-e206d440ecc8___RS_Late.B 5389.JPG,tomato_late_blight,30835,23043,74.73,Grave
250823af-1631-4050-928d-029101ddc744___RS_Late.B 6197.JPG,tomato_late_blight,17070,3484,20.41,Moderada
25bb0739-cbd4-4e75-a6f4-67ca5cc7f986___GHLB2 Leaf 8789.JPG,tomato_late_blight,21805,2980,13.67,Leve
25bfd51b-6db7-42a5-9990-992f52a0c836___GHLB2 Leaf 61.JPG,tomato_late_blight,40008,21438,53.58,Grave
26fa9fb7-10fa-496c-9433-e4053ff456da___RS_Late.B 4867.JPG,tomato_late_blight,28691,1635,5.7,Leve
35baedd2-975e-4a48-b468-5b7203bab631___GHLB2 Leaf 8936.JPG,tomato_late_blight,11828,10531,89.03,Grave
385e730c-e1f9-4f46-b8b0-42bfa13866d7___RS_Late.B 4965.JPG,tomato_late_blight,34737,21783,62.71,Grave
39535fa7-1b38-4828-9294-da1c24aa33ef___RS_Late.B 6901.JPG,tomato_late_blight,34786,15781,45.37,Moderada
3ae2b5f3-a42f-49b1-8d27-dcfaaeda602f___GHLB2 Leaf 8840.JPG,tomato_late_blight,15090,8012,53.09,Grave
3b66a8ec-5828-4bd0-9893-9f00ee22d394___RS_Late.B 5535.JPG,tomato_late_blight,25654,932,3.63,Saudavel
3e7acc8a-73b1-4c21-bc67-bb6e65c4d373___GHLB Leaf 8.1 Day 12.JPG,tomato_late_blight,35501,386,1.09,Saudavel
407672bf-00e1-4362-acf9-cf10aae32dec___GHLB2 Leaf 8844.JPG,tomato_late_blight,12236,6723,54.94,Grave
43018540-7022-4fcd-a240-e5f861914bbd___GHLB2 Leaf 84.5.JPG,tomato_late_blight,28033,2547,9.09,Leve
449c9233-a3bb-4743-874b-f5d092d652b9___GHLB2 Leaf 8975.JPG,tomato_late_blight,15624,9702,62.1,Grave
4505676e-d70e-460e-bac1-ce20d94f3944___GHLB2 Leaf 158.2.JPG,tomato_late_blight,10459,4552,43.52,Moderada
4cffeba2-15a0-4d56-9429-8dbb0f69c00e___GHLB2 Leaf 158.1.JPG,tomato_late_blight,12800,5505,43.01,Moderada
541b1d99-c630-4730-861f-a8ef53615709___GHLB2 Leaf 8857.JPG,tomato_late_blight,14377,1127,7.84,Leve
54ead8ea-8e27-4c67-b683-7420d5c6ae3e___RS_Late.B 6061.JPG,tomato_late_blight,25777,4542,17.62,Leve
54eb17df-c42a-472f-91ec-92784e034115___GHLB2 Leaf 8910.JPG,tomato_late_blight,12392,10273,82.9,Grave
558681eb-ad2c-4c93-a347-c140f7e4517a___GHLB2 Leaf 116.1.JPG,tomato_late_blight,22412,20711,92.41,Grave
5614e19d-53b7-4509-98e3-478712039c80___GHLB2 Leaf 8997.JPG,tomato_late_blight,10972,2695,24.56,Moderada
57c53f65-3137-41d3-9bf7-7ac867f3efe8___RS_Late.B 6255.JPG,tomato_late_blight,21650,12318,56.9,Grave
5acc6d4e-6ca5-4a1b-b0bd-7678c6c280f9___GHLB2 Leaf 8709.JPG,tomato_late_blight,9968,4721,47.36,Moderada
5ee4e525-31bd-415c-9f64-30746c2434d7___RS_Late.B 4883.JPG,tomato_late_blight,36674,13295,36.25,Moderada
6815e363-5221-44e2-a5a4-c1b82eb5a4aa___GHLB2 Leaf 9103.JPG,tomato_late_blight,12635,2892,22.89,Moderada
6ed34168-5646-44ae-8279-1d9ae0f4e962___RS_Late.B 6633.JPG,tomato_late_blight,20738,18915,91.21,Grave
6ed45835-4863-4d95-9d71-8ec0f1b26f27___GHLB2 Leaf 8834.JPG,tomato_late_blight,10015,4042,40.36,Moderada
72644544-d9a0-442b-9992-e37ed7565d97___GHLB2 Leaf 8904.JPG,tomato_late_blight,11989,909,7.58,Leve
72b670f0-6553-41bd-a619-e4bead34917e___GHLB2 Leaf 109.JPG,tomato_late_blight,32815,6461,19.69,Leve
72e49321-5eeb-4669-9641-0e9146da9159___RS_Late.B 5102.JPG,tomato_late_blight,26717,2316,8.67,Leve
7d0d5e78-87b9-4d47-9291-4a1e75fe9d97___GHLB2 Leaf 8693.JPG,tomato_late_blight,17763,7972,44.88,Moderada
7e409fcc-0ff7-4d05-9852-e0f4495db3e8___RS_Late.B 6195.JPG,tomato_late_blight,27126,9785,36.07,Moderada
81dc45ec-9ce3-4887-90b5-b091276a9245___RS_Late.B 4957.JPG,tomato_late_blight,34139,7111,20.83,Moderada
